Department,Tab,Category,ID,Check Item
"시설","여과/기타","1. 여과기 점검","tab4_f5","⑤ 냉탕 여과기(남)"
"시설","여과/기타","1. 여과기 점검","tab4_f6","⑥ 열탕 여과기(남)"
"시설","여과/기타","1. 여과기 점검","tab4_f7","⑦ 냉탕 여과기(여)"
"시설","여과/기타","1. 여과기 점검","tab4_f8","⑧ 온탕 여과기(여)"
"시설","여과/기타","1. 여과기 점검","tab4_f9","⑨ 벤치Z 여과기(남)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p11","⑪ 샤워펌프(여)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p12","⑫ 파도펌프(여)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p13","⑬ 벤치Z 펌프3(여)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p14","⑭ 벤치Z 펌프2(여)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p15","⑮ 벤치Z 펌프1(여)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p16","⑯ 벤치Z 펌프3(남)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p17","⑰ 벤치Z 펌프2(남)"
"시설","여과/기타","2. 벤치Z 펌프 점검","tab4_p18","⑱ 벤치Z 펌프1(남)"
"시설","여과/기타","3. 기타설비 점검","tab4_g1","메인전기 판넬 점검"
"시설","여과/기타","3. 기타설비 점검","tab4_g2","사무실 방송장비 및 음향시스템 확인"
"시설","여과/기타","3. 기타설비 점검","tab4_g3","리셉션 PC , 보조전력장치 확인"
"시설","온도체크","2층 남탕 수온 및 사우나 온도","tab5_m1","2층 남탕 온탕"
"시설","온도체크","2층 남탕 수온 및 사우나 온도","tab5_m2","2층 남탕 열탕"
"시설","온도체크","2층 남탕 수온 및 사우나 온도","tab5_m3","2층 남탕 냉탕"
"시설","온도체크","2층 남탕 수온 및 사우나 온도","tab5_m4","2층 남탕 사우나"
"시설","온도체크","2층 여탕 수온 및 사우나 온도","tab5_w1","2층 여탕 온탕"
"시설","온도체크","2층 여탕 수온 및 사우나 온도","tab5_w2","2층 여탕 열탕"
"시설","온도체크","2층 여탕 수온 및 사우나 온도","tab5_w3","2층 여탕 냉탕"
"시설","온도체크","2층 여탕 수온 및 사우나 온도","tab5_w4","2층 여탕 건식"
"시설","온도체크","2층 여탕 수온 및 사우나 온도","tab5_w5","2층 여탕 습식"
"시설","온도체크","3층 찜질방 테마룸 온도","tab5_s1","3층 찜질방 불가마"
"시설","온도체크","3층 찜질방 테마룸 온도","tab5_s2","3층 찜질방 소금방"
"시설","온도체크","3층 찜질방 테마룸 온도","tab5_s3","3층 찜질방 맥반석"
"시설","온도체크","3층 찜질방 테마룸 온도","tab5_s4","3층 찜질방 아이스방"
"시설","온도체크","3층 찜질방 테마룸 온도","tab5_s5","3층 찜질방 편백방"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_1","[심야조 인수인계] ★ 심야조 시제 확인 및 서명 후 인수"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_2","[POS1·POS2 시작 시제] ★ 시작 시제 카운트 (전 교대 마감 잔액과 일치)"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_3","[계좌입금 미확인 건] 심야 미처리 계좌입금 확인 및 처리"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_4","[특이사항 인계 확인] 심야 인계 사항 파악 (VIP·클레임·유실물)"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_5","[락커 키 재고] 남·여 락커 마스터키 및 여분키 인수"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_6","[카운터 정돈] 카운터 상판·POS·키오스크 소독 및 정리"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_7","[팜플렛·명함] 안내 자료 재고 확인 및 정위치 배치"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_8","[대양 키오스크] 정상 작동 확인, 영수증 용지 재고 확인"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_9","[카드 단말기] 정상 작동 확인, 단말기 통신 상태 점검"
"리셉션","리셉션 오전","◆ 인수인계 및 오픈 준비","r_m_10","[필수 파일 오픈] 리셉션_계좌입금·회원락커·회원리스트·구분소유자 시트 열기"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_11","[회원 만료 예정] ★ 당일·익일 만료 회원 확인 → 연장 안내 준비"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_12","[락커 만료 예정] ★ 당일·익일 락커 만료 확인 → 연장 안내 준비"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_13","[VIP 예약 확인] 당일 VIP 방문 예정 확인 및 응대 준비"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_14","[오전 브리핑] ★ 한연수 팀장 브리핑 참여 (전일 이슈·당일 특이사항)"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_15","[실장님 보고 서류] 실장님 보고 서류 준비 및 검토"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_16","[매니저 자료 확인] 매니저자료 폴더 신규 공지·업무 지시 확인"
"리셉션","리셉션 오전","◆ 오전 사전 확인","r_m_17","[카카오톡 공지 확인] 카카오톡 받은 파일 폴더 신규 파일 확인"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_18","[오전 고객 응대] 입장·연장·퇴장 처리, POS 결제 진행"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_19","[신규 회원 등록] 회원리스트에 신규 회원 등록 (연락처·품목·성별·만기일)"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_20","[회원 연장 처리] 회원 연장 시 결제 후 회원리스트 만기일 갱신"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_21","[락커 신규 배정] ★ 남·여 락커 배정 시 회원락커이용현황 즉시 기록"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_22","[락커 연장 처리] 락커 연장 시 시트 연장 이력 기록 (섹션·락커번호·개월수·기간)"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_23","[락커 종료 처리] 락커 종료 시 락커비움 또는 회원권종료 표시"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_24","[구분소유자 응대] ★ 등기부등본 확인 → 무료이용권 차감 → 시트 기록"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_25","[구분소유자 가족 이용] ★ 가족관계증명서 확인 시 무료이용권 차감 가능"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_26","[구분소유자 찜질복] 찜질복 3,000원 별도 결제 안내"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_27","[계좌입금 처리] ★ 계좌이체 확인 즉시 리셉션_계좌입금 시트 기록"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_28","[계좌입금 기록] 날짜·성함·금액·시간·비고 정확히 기록"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_29","[네이버쿠폰 판매] ★ 판매 시 쿠폰번호·수량·확인자 기록 (발권 오류 주의)"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_30","[다매권(리셉션) 판매] 리셉션 쿠폰 판매 시 시트 기록"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_31","[VIP 회원 응대] VIP 방문 시 특별 응대 → 실장님 보고"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_32","[유실물 접수] 유실물 접수 시 대장 기록 및 관리단 통보"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_33","[미화팀 협조 요청] 청결 상태 이상 발견 시 미화팀 즉시 통보"
"리셉션","리셉션 오전","◆ 오전 상시 업무 (고객 응대)","r_m_34","[시설 이상 발견] ★ 시설 이상 시 김덕환 주간 시설이사 즉시 통보"
"리셉션","리셉션 오전","◆ 오전 마감 (16:00 인계)","r_m_35","[POS1·POS2 시제 마감] ★ 시제 정확히 카운트 후 인계 준비"
"리셉션","리셉션 오전","◆ 오전 마감 (16:00 인계)","r_m_36","[현금 매출 기록] 리셉션_각종서류 오전란 매출 기록 및 서명"
"리셉션","리셉션 오전","◆ 오전 마감 (16:00 인계)","r_m_37","[계좌입금 최종 정리] 오전 계좌입금 전체 확인 및 합계 기록"
"리셉션","리셉션 오전","◆ 오전 마감 (16:00 인계)","r_m_38","[네이버쿠폰 정리] 오전 판매 내역 최종 확인 및 시트 마감"
"리셉션","리셉션 오전","◆ 오전 마감 (16:00 인계)","r_m_39","[특이사항 인계 준비] 오전 발생 이슈·유실물·클레임 인계 문서 작성"
"리셉션","리셉션 오전","◆ 오전 마감 (16:00 인계)","r_m_40","[오후조 인계] ★ 시제 카운트 → 오후조 서명 → 인수인계 완료"
"리셉션","리셉션 오후","◆ 인수인계 (16:00 시작)","r_a_1","[오전조 인수인계] ★ 오전조 시제 확인 및 서명 후 인수"
"리셉션","리셉션 오후","◆ 인수인계 (16:00 시작)","r_a_2","[POS1·POS2 시작 시제] ★ 시작 시제 카운트 (전 교대 마감 잔액과 일치)"
"리셉션","리셉션 오후","◆ 인수인계 (16:00 시작)","r_a_3","[계좌입금 미확인 건] 오전 미처리 계좌입금 확인"
"리셉션","리셉션 오후","◆ 인수인계 (16:00 시작)","r_a_4","[특이사항 인계 확인] 오전 인계 사항 파악 (VIP·클레임·유실물)"
"리셉션","리셉션 오후","◆ 인수인계 (16:00 시작)","r_a_5","[오후 회원 만료 예정] 저녁 방문 예정 만료 회원 확인 → 연장 안내 준비"
"리셉션","리셉션 오후","◆ 인수인계 (16:00 시작)","r_a_6","[필수 파일 상태] 리셉션_계좌입금·회원락커·회원리스트·구분소유자 시트 확인"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_7","[저녁 피크 응대] 대량 방문 대응, 대기줄 관리"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_8","[신규 회원 등록] 회원리스트 신규 회원 등록 및 관리"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_9","[회원 연장 처리] 저녁 방문 회원 연장 결제 및 시트 갱신"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_10","[락커 신규·연장·종료] ★ 회원락커이용현황 실시간 반영"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_11","[구분소유자 응대] ★ 등기부등본 확인 → 무료이용권 차감 → 시트 기록"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_12","[구분소유자 찜질복] 찜질복 3,000원 별도 결제 안내"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_13","[계좌입금 처리] ★ 저녁 계좌이체 확인 즉시 리셉션_계좌입금 기록"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_14","[네이버쿠폰·다매권] ★ 저녁 판매 시 쿠폰번호·수량·확인자 기록"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_15","[VIP 회원 응대] VIP 저녁 방문 시 특별 응대 → 실장님 보고"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_16","[유실물 접수] 저녁 유실물 접수 및 대장 기록"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_17","[대양 키오스크] 정상 작동 확인, 영수증 용지 리필"
"리셉션","리셉션 오후","◆ 저녁 피크 대응 (17:00 ~ 22:00)","r_a_18","[카드 단말기] 카드 결제 정상 처리 여부 확인"
"리셉션","리셉션 오후","◆ 야간 응대 (22:00 ~ 24:00)","r_a_19","[야간 고객 응대] 야간 입장·연장·퇴장 처리"
"리셉션","리셉션 오후","◆ 야간 응대 (22:00 ~ 24:00)","r_a_20","[심야 이용 안내] 심야 사용 시설·규정 안내"
"리셉션","리셉션 오후","◆ 야간 응대 (22:00 ~ 24:00)","r_a_21","[야간 기관장 협조] 홍이기 야간 기관장과 시설 이슈 공유"
"리셉션","리셉션 오후","◆ 야간 응대 (22:00 ~ 24:00)","r_a_22","[시설 이상 발견] ★ 시설 이상 시 야간 기관장 즉시 통보"
"리셉션","리셉션 오후","◆ 야간 응대 (22:00 ~ 24:00)","r_a_23","[고객 안전 모니터링] ★ 야간 고객 안전 확인 (졸음·음주·응급상황)"
"리셉션","리셉션 오후","◆ 오후 마감 준비 (23:30 ~ 24:00)","r_a_24","[POS1·POS2 시제 카운트] ★ 시제 정확히 카운트 (2인 교차 확인)"
"리셉션","리셉션 오후","◆ 오후 마감 준비 (23:30 ~ 24:00)","r_a_25","[오후 매출 기록] 리셉션_각종서류 오후란 매출 기록 및 서명"
"리셉션","리셉션 오후","◆ 오후 마감 준비 (23:30 ~ 24:00)","r_a_26","[계좌입금 최종 정리] 오후 계좌입금 전체 확인 및 합계 기록"
"리셉션","리셉션 오후","◆ 오후 마감 준비 (23:30 ~ 24:00)","r_a_27","[네이버쿠폰 정리] 오후 판매 내역 최종 확인 및 시트 마감"
"리셉션","리셉션 오후","◆ 오후 마감 준비 (23:30 ~ 24:00)","r_a_28","[특이사항 인계 준비] 오후 발생 이슈·유실물·클레임 인계 문서 작성"
"리셉션","리셉션 오후","◆ 오후 마감 준비 (23:30 ~ 24:00)","r_a_29","[마감조 인계] ★ 시제 카운트 → 마감조 서명 → 인수인계 완료"
"리셉션","리셉션 마감","◆ 인수인계 (00:00 시작)","r_c_1","[오후조 인수인계] ★ 오후조 시제 최종 확인 및 서명 후 인수"
"리셉션","리셉션 마감","◆ 인수인계 (00:00 시작)","r_c_2","[POS1·POS2 시제] ★ 시작 시제 확인 (전 교대 마감 잔액과 일치)"
"리셉션","리셉션 마감","◆ 인수인계 (00:00 시작)","r_c_3","[계좌입금 미확인 건] 오후 미처리 계좌입금 확인 후 처리"
"리셉션","리셉션 마감","◆ 인수인계 (00:00 시작)","r_c_4","[특이사항 인계] 오후 인계 사항 확인 (VIP 응대·클레임·유실물 등)"
"리셉션","리셉션 마감","◆ 인수인계 (00:00 시작)","r_c_5","[락커 키 재고] 남·여 락커 마스터키 및 여분키 인수"
"리셉션","리셉션 마감","◆ 인수인계 (00:00 시작)","r_c_6","[카운터 물품] 영수증 용지, 카드 단말기, 도장, 필기구 상태 확인"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_7","[POS1·POS2 시제 카운트] ★ 시제 정확히 카운트 (2인 교차 확인)"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_8","[현금 매출 합계] ★ 오전·오후·마감조 현금 매출 총합 계산"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_9","[매출 시트 기록] 리셉션_각종서류에 당일 매출 총합 기록"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_10","[시제 검증] ★ 전일 잔액 + 당일 매출 = 마감 시제 (정확 일치)"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_11","[시제 오차 확인] 오차 발생 시 원인 파악, 실장님/회장님 즉시 보고"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_12","[실장님·회장님 전달] ★ 마감 현금 실장님/회장님께 전달 (인계 서명 필수)"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_13","[확인자 서명] 마감 확인자 서명 (본인 + 감독자)"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_14","[카드 매출 마감] 카드 단말기 마감 처리, 매출 전표 정리"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_15","[네이버쿠폰 정산] 당일 네이버쿠폰 판매 총합 확인"
"리셉션","리셉션 마감","◆ 일일 매출 최종 마감 (핵심 업무)","r_c_16","[계좌입금 총합] 당일 계좌입금 총합 확인 및 매출 합산"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_17","[심야 고객 응대] 입장·연장·퇴장 처리, POS 결제 진행"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_18","[심야 계좌입금 확인] ★ 계좌입금 즉시 확인 후 리셉션_계좌입금 시트 기록"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_19","[계좌입금 기록] 날짜·성함·금액·시간·비고 정확히 기록"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_20","[락커 배정] 회원·비회원 락커 배정 및 키 관리"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_21","[회원 락커 확인] ★ 회원 락커 이용 시 만료일 확인 (미리 연장 안내)"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_22","[구분소유자 응대] ★ 등기부등본/매매계약서 확인 → 무료이용권 차감 (연 7회)"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_23","[주차요금 처리] 주차요금 계좌입금 시 즉시 기록"
"리셉션","리셉션 마감","◆ 심야 응대 및 관리","r_c_24","[VIP 회원 응대] VIP 회원 방문 시 특별 응대 (실장님 보고 대상)"
"리셉션","리셉션 마감","◆ 심야 시설 순회 협조","r_c_25","[시설 이상 발견] ★ 이상 발견 시 야간 기관장(홍이기) 즉시 통보"
"리셉션","리셉션 마감","◆ 심야 시설 순회 협조","r_c_26","[미화 협조] 야간 기관장의 미화 순회 협조 요청 대응"
"리셉션","리셉션 마감","◆ 심야 시설 순회 협조","r_c_27","[고객 안전 모니터링] ★ 심야 고객 안전 확인 (졸음·음주·응급상황)"
"리셉션","리셉션 마감","◆ 심야 시설 순회 협조","r_c_28","[CCTV 모니터링] 카운터 CCTV 화면 상시 확인"
"리셉션","리셉션 마감","◆ 익일 준비 및 오전조 인계 (06:00 ~ 07:00)","r_c_29","[익일 시제 준비] ★ 익일 시작 시제 세팅 (POS1·POS2)"
"리셉션","리셉션 마감","◆ 익일 준비 및 오전조 인계 (06:00 ~ 07:00)","r_c_30","[계좌입금 최종 정리] 심야 계좌입금 총합 및 미처리 건 인계"
"리셉션","리셉션 마감","◆ 익일 준비 및 오전조 인계 (06:00 ~ 07:00)","r_c_31","[특이사항 인계 준비] 심야 발생 이슈·유실물·클레임 문서 작성"
"리셉션","리셉션 마감","◆ 익일 준비 및 오전조 인계 (06:00 ~ 07:00)","r_c_32","[카운터 정리] 카운터 상판·POS·키오스크 소독, 팜플렛 정리"
"리셉션","리셉션 마감","◆ 익일 준비 및 오전조 인계 (06:00 ~ 07:00)","r_c_33","[오전조 인계] ★ 시제 카운트 → 오전조 서명 → 인수인계 완료"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_34","[주간 매출 정산] 주간 매출 합계 정리 및 실장님 보고 (주 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_35","[월간 회원 만료 안내] 익월 만료 회원 사전 안내 문자 발송 (월 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_36","[월간 락커 만료 안내] 익월 락커 만료 회원 사전 안내 (월 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_37","[구분소유자 이용권 정산] 월간 사용 현황 정리 및 관리부 확인 (월 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_38","[리뷰 이벤트 관리] 리뷰당첨자명단 신규 당첨자 등록 및 쿠폰 발송 (월 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_39","[POS 기기 점검] POS·키오스크·카드단말기 정기 점검 (대양 이수호 010-6742-2248) (월 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_40","[회원 통계 보고] 월간 신규·연장·종료 통계 실장님 보고 (월 1회)"
"리셉션","리셉션 마감","◆ 주간·월간 심화 (마감 시 병행)","r_c_41","[현금 시제 실사] 월간 시제 실사 (매니저·실장님 입회) (월 1회)"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_1","[여자 락커룸] 락커 개방 확인, 미회수 물품 관리단 인계"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_2","[여자 락커룸] 바닥 머리카락 진공청소 후 물걸레 청소"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_3","[여자 락커룸] 벤치·의자 소독제 도포 후 마감"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_4","[여자 파우더룸] 거울 물때·손자국 제거 및 광택"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_5","[여자 파우더룸] 드라이기등 위생 확인 및 고장여부"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_6","[여자 파우더룸] 어메니티(면봉·화장품) 리필"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_7","[여자 샤워장] 배수구 이물질 완전 확인"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_8","[여자 샤워장] 거울 물때 제거 및 광택 마감"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_10","[여자 세신실] 타일·의자 확인"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_11","[2층 리셉션 홀] 바닥 깔판 청소, 대리석 화장대 확인"
"미화","오픈 전","오픈 전 대청소 (08:00 ~ 10:00)","ct1_12","[2층 리셉션 홀] 출입구 유리 손자국 제거 및 광택"
"미화","오전 순회","여자 사우나 및 취약구역 집중 (10:00 ~ 12:00)","ct2_2","[여자 건식 사우나] 목재 및 타일 이상유무"
"미화","오전 순회","여자 사우나 및 취약구역 집중 (10:00 ~ 12:00)","ct2_3","[여자 건식 사우나] 사우나 매트 교체"
